10,15645800
10,9973200
1000,997000
2000,997600
4000,985800
5000,997500
14000,998100
17000,986600
10,15619200
10,10509700
500,997000
8000,997800
11000,996500
13000,997600
15000,997000
17000,997900
19000,997400
12000,996900
10,10434300
5000,981300
11000,1000000
17000,997200
18000,997300
10,15622300
2000,996800
10,9996800
2000,997000
10000,997500
13000,997900
19000,998600
10,15649000
14000,15599200
10,10388400
300,997200
16000,997300
10,10945200
8000,997300
11000,997700
12000,995500
10,10640700
200,998200
10,10026700
10,15621900
