1000,15620600
6000,15624300
800,996900
1000,999800
2000,995500
3000,997500
4000,996700
5000,997500
6000,998000
7000,996800
8000,998300
9000,5982600
10000,997000
11000,996900
14000,997900
15000,997900
16000,997700
17000,996300
19000,997300
20000,998600
1000,997200
7000,996900
12000,996700
14000,997800
15000,998300
16000,996200
17000,997000
18000,997300
19000,996600
20000,997500
8000,15622300
20000,15631900
200,996700
800,997400
3000,998500
6000,996400
8000,997400
9000,3989200
10000,997700
15000,996700
16000,998400
17000,996800
18000,998300
200,997300
300,997500
800,997400
5000,997600
7000,997300
8000,998000
10000,996500
11000,996500
12000,997600
13000,998100
14000,996600
15000,997800
16000,996200
18000,997100
20000,998100
500,997600
2000,986400
3000,996700
4000,997500
5000,997300
6000,997200
7000,997800
8000,996900
9000,6981400
15000,998100
16000,996600
17000,993100
18000,997900
19000,998600
20000,995900
800,997500
7000,1000600
9000,995500
11000,998500
12000,998500
16000,998800
17000,998700
18000,996800
19000,995300
20000,996900
9000,15622800
14000,998200
15000,997700
18000,1000100
19000,995200
20000,996500
10,997400
200,996000
3000,993600
5000,997400
6000,996900
8000,994300
9000,3988700
10000,996600
15000,997600
16000,997300
17000,996900
18000,997900
19000,996900
20000,997100
800,997400
8000,1000200
9000,1059300
9000,15616600
7000,15623100
500,997500
4000,997500
5000,997300
6000,997000
7000,997500
8000,997800
9000,3990500
13000,998700
16000,996800
17000,997100
18000,998000
800,996800
6000,997000
7000,998000
8000,997800
9000,996000
10000,998600
14000,997500
15000,997600
17000,997800
18000,997300
19000,998200
20000,996200
800,996100
1000,997800
4000,996900
5000,997300
6000,997200
7000,997100
8000,998200
9000,3894500
10000,997300
11000,997200
12000,997700
14000,996100
16000,997500
17000,997100
18000,998700
10,997400
3000,996900
7000,998900
8000,995900
9000,996200
10000,996300
11000,997700
12000,998000
13000,996400
14000,996800
15000,998500
9000,15622500
7000,996400
10000,998100
11000,997200
12000,997200
13000,997600
14000,995700
15000,997900
16000,997900
17000,997200
18000,997100
19000,998000
20000,995500
10000,15622400
9000,15621500
9000,15622300
8000,15622400
10000,15621500
6000,15621200
8000,15622100
