17000,31242200
18000,15652800
19000,31240300
20000,46836800
6000,15646200
9000,15599100
11000,15642900
12000,15599000
13000,15620300
14000,15622000
15000,15620500
16000,31242000
17000,15621800
18000,31240900
19000,31242700
20000,31242600
4000,15619500
8000,15621700
10000,15621200
11000,15621500
13000,15622900
14000,31241800
15000,15621300
16000,30558500
17000,21665200
18000,31242300
19000,31242700
20000,42287800
6000,15621400
9000,15619300
11000,15623300
12000,15620100
13000,15622000
14000,15621000
15000,15628600
16000,31234600
17000,15619300
18000,31244900
19000,31242800
20000,46867000
4000,15622600
8000,15622500
10000,15618600
11000,15621200
13000,15621400
14000,31269100
15000,15619800
16000,15624500
17000,31239100
18000,31242500
19000,31244900
20000,31215800
